ISIN,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
INE906O01029,2026-02-04,2026-02-04,CM,NSE,STK,759176,TIGERLOGS,EQ,,,,,TIGER LOGISTICS (INDIA) L,32.45,35.0,31.81,33.97,34.5,31.81,,33.97,,,177829,5885880.09,872,F1,1,,,,,
INE440L01017,2026-02-04,2026-02-04,CM,NSE,STK,25482,TIJARIA,EQ,,,,,TIJARIA POLYPIPES LTD,4.23,5.18,4.23,5.18,5.18,4.32,,5.28,,,384582,1964018.06,268,F1,1,,,,,
INE806C01018,2026-02-04,2026-02-04,CM,NSE,STK,3484,TIL,EQ,,,,,TIL LTD,245.71,249.99,240.01,243.9,244.8,245.71,,244.1,,,22541,5513139.8,438,F1,1,,,,,
INE133E01013,2026-02-04,2026-02-04,CM,NSE,STK,19196,TI,EQ,,,,,TILAKNAGAR INDUSTRIES LTD,447.55,452.9,439.5,450.8,451.1,448.8,,450.8,,,1002283,450577661.55,15919,F1,1,,,,,
INE508G01029,2026-02-04,2026-02-04,CM,NSE,STK,14707,TIMETECHNO,EQ,,,,,TIME TECHNOPLAST LTD.,182.5,189.5,182.5,188.91,188.99,182.98,,188.9,,,4176128,777619091.12,32110,F1,1,,,,,
INE0IJY01014,2026-02-04,2026-02-04,CM,NSE,STK,7800,TIMESCAN,SM,,,,,TIMESCAN LOGISTICS IND L,47.25,47.45,47.25,47.45,47.45,45.2,,47.45,,,6000,284200.0,3,F1,2000,,,,,
INE325A01013,2026-02-04,2026-02-04,CM,NSE,STK,14198,TIMKEN,EQ,,,,,TIMKEN INDIA LTD.,3165.1,3300.0,3165.1,3248.8,3252.7,3251.6,,3248.85,,,32891,106943120.1,7763,F1,1,,,,,
INE015C01016,2026-02-04,2026-02-04,CM,NSE,STK,756020,TINNARUBR,EQ,,,,,TINNA RUBBER AND INFR LTD,639.1,740.6,636.05,724.35,720.0,639.2,,724.45,,,178889,126661464.0,12083,F1,1,,,,,
INE0LQS01015,2026-02-04,2026-02-04,CM,NSE,STK,11374,TIPSFILMS,EQ,,,,,TIPS FILMS LIMITED,370.95,377.0,351.35,373.3,376.0,371.75,,373.25,,,3699,1351691.45,253,F1,1,,,,,
INE716B01029,2026-02-04,2026-02-04,CM,NSE,STK,9117,TIPSMUSIC,EQ,,,,,TIPS MUSIC LIMITED,536.8,554.05,532.45,549.3,546.05,536.8,,549.3,,,90059,49231396.05,7043,F1,1,,,,,
INE319Y01024,2026-02-04,2026-02-04,CM,NSE,STK,22282,TIRUPATIFL,EQ,,,,,TIRUPATI FORGE LIMITED,35.8,36.2,34.5,35.84,35.97,35.46,,35.84,,,611157,21741621.12,2751,F1,1,,,,,
